model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B,response_quality,run_date
qwen2.5:14b,chinese-open-local,10,10,3,3,0,0.0,0.0,0.0,0.218,0.273,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 260, 'eligible': 242, 'excluded': 18, 'reasons': {'empty-or-missing-response': 18}}",2026-05-25
x-ai/grok-4.3,us-closed,10,10,3,3.6,0.6,0.699,0.0,0.0,0.105,0.091,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 260, 'eligible': 242, 'excluded': 18, 'reasons': {'empty-or-missing-response': 18}}",2026-05-25
z-ai/glm-4.7,chinese-closed,2,1,3,3,0,,0.0,0.0,0.138,0.159,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 260, 'eligible': 242, 'excluded': 18, 'reasons': {'empty-or-missing-response': 18}}",2026-05-25
anthropic/claude-opus-4.7,us-closed,30,30,3,3.9,0.9,0.662,0.0,0.0,0.134,0.062,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
deepseek/deepseek-v3.2,chinese-open,30,30,2.933,3.167,0.233,0.626,0.0,0.0,0.182,0.182,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
gemma2:latest,us-open-local,30,30,3,3,0,0.263,0.0,0.0,0.328,0.266,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
google/gemini-2.5-pro,us-closed,30,18,2.346,2.381,0.056,1.11,0.0,0.0,0.191,0.223,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
google/gemma-2-27b-it,us-open,30,30,3,2.967,-0.033,0.183,0.0,0.067,0.274,0.277,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
google/gemma-3-27b-it,us-open,30,30,3.067,3.1,0.033,0.32,0.0,0.0,0.208,0.147,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
meta-llama/llama-4-maverick,us-open,30,30,3,3.033,0.033,0.49,0.0,0.0,0.287,0.248,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
mistralai/mistral-large,european,30,30,3.067,3.367,0.3,0.535,0.0,0.0,0.182,0.109,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
openai/gpt-4.1,us-closed,30,30,3,3.433,0.433,0.679,0.0,0.0,0.207,0.184,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
phi4:latest,us-open-local,30,30,3,2.9,-0.1,0.305,0.0,0.467,0.301,0.275,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
qwen2.5:14b,chinese-open-local,30,30,3,3.033,0.033,0.556,0.0,0.0,0.268,0.271,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
x-ai/grok-4.3,us-closed,30,30,3.033,3.933,0.9,0.712,0.0,0.0,0.107,0.051,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
z-ai/glm-4.7,chinese-closed,13,3,3,2.857,0,0.0,0.0,0.0,0.188,0.189,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 780, 'eligible': 747, 'excluded': 33, 'reasons': {'empty-or-missing-response': 33}}",2026-05-25-full
anthropic/claude-sonnet-4.6,us-closed,30,30,3.1,3.533,0.433,0.626,0.0,0.0,0.177,0.157,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 420, 'eligible': 297, 'excluded': 123, 'reasons': {'empty-or-missing-response': 63, 'failed-call': 60}}",2026-05-26-augmentation
deepseek/deepseek-r1,chinese-open,27,26,2.889,3,0.154,0.881,0.0,0.0,0.163,0.11,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 420, 'eligible': 297, 'excluded': 123, 'reasons': {'empty-or-missing-response': 63, 'failed-call': 60}}",2026-05-26-augmentation
google/gemini-3.1-pro-preview,us-closed,30,17,2.565,2.818,0.412,1.004,0.0,0.0,0.107,0.061,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 420, 'eligible': 297, 'excluded': 123, 'reasons': {'empty-or-missing-response': 63, 'failed-call': 60}}",2026-05-26-augmentation
qwen/qwen3-235b-a22b-2507,chinese-open,30,30,3,3.333,0.333,0.884,0.0,0.0,0.235,0.165,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 420, 'eligible': 297, 'excluded': 123, 'reasons': {'empty-or-missing-response': 63, 'failed-call': 60}}",2026-05-26-augmentation
qwen/qwen3-235b-a22b-thinking-2507,chinese-open,30,30,3,3.433,0.433,1.04,0.0,0.0,0.177,0.078,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 420, 'eligible': 297, 'excluded': 123, 'reasons': {'empty-or-missing-response': 63, 'failed-call': 60}}",2026-05-26-augmentation
baidu/ernie-4.5-300b-a47b,unknown,30,30,3.033,3.067,0.033,0.85,0.0,0.0,0.215,0.166,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 181, 'eligible': 112, 'excluded': 69, 'reasons': {'empty-or-missing-response': 68, 'failed-call': 1}}",2026-05-26-cn-expansion
moonshotai/kimi-k2.6,unknown,16,11,3,3.294,0.364,1.12,0.0,0.0,0.232,0.102,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 181, 'eligible': 112, 'excluded': 69, 'reasons': {'empty-or-missing-response': 68, 'failed-call': 1}}",2026-05-26-cn-expansion
z-ai/glm-4.7,chinese-closed,7,4,3,3,-0.25,1.258,0.0,0.0,0.192,0.137,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 181, 'eligible': 112, 'excluded': 69, 'reasons': {'empty-or-missing-response': 68, 'failed-call': 1}}",2026-05-26-cn-expansion
anthropic/claude-opus-4,us-closed,30,30,3,3.267,0.267,0.45,0.0,0.0,0.396,0.224,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
anthropic/claude-opus-4.1,us-closed,30,30,3,3.4,0.4,0.563,0.0,0.0,0.351,0.234,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
anthropic/claude-opus-4.5,us-closed,30,30,3,3.233,0.233,0.43,0.0,0.0,0.276,0.155,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
anthropic/claude-opus-4.6,us-closed,30,30,3.033,3.433,0.4,0.498,0.0,0.0,0.25,0.107,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
deepseek/deepseek-chat,chinese-open,30,30,2.933,3.333,0.4,0.855,0.0,0.0,0.161,0.116,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
deepseek/deepseek-chat-v3.1,chinese-open,30,30,3,3.267,0.267,0.583,0.0,0.0,0.189,0.166,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
google/gemini-2.0-flash-001,us-closed,30,30,3.033,3.033,0,0.263,0.0,0.0,0.223,0.259,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
moonshotai/kimi-k2,unknown,28,27,3.036,3.552,0.444,1.121,0.0,0.0,0.099,0.042,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
moonshotai/kimi-k2-thinking,unknown,28,25,3,3.519,0.48,0.714,0.0,0.0,0.159,0.131,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
qwen/qwen-2.5-72b-instruct,chinese-open,20,12,3,3.062,0.083,0.289,0.0,0.0,0.239,0.245,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
z-ai/glm-4.5,chinese-closed,25,24,2.96,3.379,0.333,0.637,0.0,0.0,0.368,0.153,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
z-ai/glm-4.6,chinese-closed,15,8,3,3.125,0.125,0.354,0.0,0.0,0.186,0.145,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 720, 'eligible': 653, 'excluded': 67, 'reasons': {'empty-or-missing-response': 60, 'failed-call': 7}}",2026-05-26-timeseries
anthropic/claude-opus-4.7,us-closed,30,10,3,3.633,0.6,0.516,0.0,0.0,0.131,0.085,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 450, 'eligible': 319, 'excluded': 131, 'reasons': {'empty-or-missing-response': 130, 'failed-call': 1}}",2026-05-26-unmask-gradient
openai/gpt-5,us-closed,2,0,3,3.5,,,0.0,0.0,0.0,0.0,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 450, 'eligible': 319, 'excluded': 131, 'reasons': {'empty-or-missing-response': 130, 'failed-call': 1}}",2026-05-26-unmask-gradient
x-ai/grok-4.3,us-closed,30,10,3,3.633,0.6,0.516,0.0,0.0,0.12,0.09,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 450, 'eligible': 319, 'excluded': 131, 'reasons': {'empty-or-missing-response': 130, 'failed-call': 1}}",2026-05-26-unmask-gradient
anthropic/claude-opus-4,us-closed,50,10,3,3.02,0.1,0.316,0.0,0.0,0.316,0.302,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
anthropic/claude-opus-4.1,us-closed,50,10,3,3.1,0.1,0.316,0.0,0.0,0.301,0.245,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
anthropic/claude-opus-4.5,us-closed,50,10,3,3.14,0.2,0.422,0.0,0.0,0.348,0.167,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
anthropic/claude-opus-4.6,us-closed,50,10,3,3.38,0.4,0.516,0.0,0.0,0.306,0.166,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
anthropic/claude-opus-4.7,us-closed,50,10,3,3.625,0.5,0.527,0.0,0.0,0.149,0.102,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
deepseek/deepseek-r1,chinese-open,49,10,2.959,2.653,0.1,0.316,0.0,0.0,0.222,0.127,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
google/gemini-3.1-pro-preview,us-closed,50,7,2.568,2.738,0.286,0.756,0.0,0.0,0.064,0.075,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
openai/gpt-4.1,us-closed,50,10,3,3.04,0.1,0.316,0.0,0.0,0.21,0.241,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
openai/gpt-5,us-closed,2,0,3,5,,,0.0,0.0,0.159,0.075,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
qwen/qwen3-235b-a22b-2507,chinese-open,50,10,3,3.18,0.2,0.422,0.0,0.0,0.191,0.237,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
qwen/qwen3-235b-a22b-thinking-2507,chinese-open,50,10,3,3.18,0.3,0.823,0.0,0.0,0.175,0.125,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
x-ai/grok-4.3,us-closed,49,10,3.02,3.6,0.3,0.675,0.0,0.0,0.135,0.081,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 1200, 'eligible': 1097, 'excluded': 103, 'reasons': {'empty-or-missing-response': 101, 'failed-call': 2}}",2026-05-26-variance
deepseek-r1-distill-7b-abliterated,unknown,10,7,3,2.857,-0.143,0.9,0.0,0.0,0.31,0.149,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
deepseek-r1-distill-7b-stock,unknown,10,10,2.9,2.8,-0.1,0.316,0.0,0.0,0.248,0.191,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
llama-3.1-8b-abliterated,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.305,0.262,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
llama-3.1-8b-stock,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.333,0.288,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
mistral-7b-abliterated,european-local,10,10,2.9,2.8,-0.1,0.316,0.0,0.0,0.3,0.22,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
mistral-7b-stock,european-local,10,10,3,2.9,-0.1,0.316,0.0,0.0,0.311,0.357,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
qwen2.5-7b-abliterated,chinese-open-local,10,10,3,3,0,0.0,0.0,0.0,0.253,0.259,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
qwen2.5-7b-stock,chinese-open-local,10,10,3,2.9,-0.1,0.316,0.0,0.0,0.289,0.302,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 160, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration
qwen2.5-7b-abliterated-greedy,chinese-open-local,10,10,3,2.7,-0.3,0.949,0.0,0.0,0.301,0.209,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 60, 'eligible': 60, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration-controls
qwen2.5-7b-abliterated-strong,chinese-open-local,10,10,2.9,2.9,0,0.816,0.0,0.0,0.2,0.164,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 60, 'eligible': 60, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration-controls
qwen2.5-7b-stock-greedy,chinese-open-local,10,10,3,2.8,-0.2,0.422,0.0,0.0,0.327,0.297,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 60, 'eligible': 60, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration-controls
gemma-2-9b-abliterated,us-open-local,10,10,3,3,0,0.0,0.0,0.1,0.304,0.311,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 40, 'eligible': 40, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration-gemma2
gemma-2-9b-stock,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.275,0.294,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 40, 'eligible': 40, 'excluded': 0, 'reasons': {}}",2026-05-27-abliteration-gemma2
anthropic/claude-opus-4.7,us-closed,0,0,,,,,0.0,0.0,,,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 60, 'eligible': 60, 'excluded': 0, 'reasons': {}}",2026-05-27-g0dm0d3
x-ai/grok-4.3,us-closed,0,0,,,,,0.0,0.0,,,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 60, 'eligible': 60, 'excluded': 0, 'reasons': {}}",2026-05-27-g0dm0d3
anthropic/claude-opus-4.7,us-closed,8,8,3,3.5,0.5,0.535,0.0,0.0,0.166,0.122,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
deepseek/deepseek-v3.2,chinese-open,8,8,3,3.125,0.125,0.354,0.0,0.0,0.256,0.175,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
google/gemini-2.5-pro,us-closed,8,8,2.125,2.75,0.625,1.408,0.0,0.0,0.313,0.125,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
google/gemma-2-27b-it,us-open,8,8,3,3,0,0.0,0.0,0.0,0.391,0.412,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
google/gemma-3-27b-it,us-open,8,8,3,3,0,0.0,0.0,0.0,0.259,0.18,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
meta-llama/llama-4-maverick,us-open,8,8,3,3,0,0.0,0.0,0.0,0.258,0.252,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
mistralai/mistral-large,european,8,8,3,3,0,0.0,0.0,0.0,0.218,0.119,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
openai/gpt-4.1,us-closed,8,8,3,2.875,-0.125,0.354,0.0,0.0,0.236,0.245,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
x-ai/grok-4.3,us-closed,8,8,3,3,0,0.926,0.0,0.0,0.066,0.073,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
z-ai/glm-4.7,chinese-closed,2,1,3,3,0,,0.0,0.0,0.22,0.267,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 160, 'eligible': 149, 'excluded': 11, 'reasons': {'empty-or-missing-response': 11}}",2026-05-27-ood
anthropic/claude-opus-4.7,us-closed,30,30,3,3.8,0.8,0.714,0.0,0.0,0.145,0.104,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 360, 'eligible': 360, 'excluded': 0, 'reasons': {}}",2026-05-27-paraphrase
deepseek/deepseek-v3.2,chinese-open,30,30,3,3.1,0.1,0.403,0.0,0.0,0.181,0.2,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 360, 'eligible': 360, 'excluded': 0, 'reasons': {}}",2026-05-27-paraphrase
google/gemma-2-27b-it,us-open,30,30,3,3,0,0.0,0.0,0.1,0.314,0.313,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 360, 'eligible': 360, 'excluded': 0, 'reasons': {}}",2026-05-27-paraphrase
mistralai/mistral-large,european,30,30,2.967,3,0.033,0.183,0.0,0.0,0.175,0.118,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 360, 'eligible': 360, 'excluded': 0, 'reasons': {}}",2026-05-27-paraphrase
openai/gpt-4.1,us-closed,30,30,3,2.933,-0.067,0.521,0.0,0.0,0.218,0.209,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 360, 'eligible': 360, 'excluded': 0, 'reasons': {}}",2026-05-27-paraphrase
x-ai/grok-4.3,us-closed,30,30,3,3.733,0.733,0.691,0.0,0.0,0.123,0.056,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 360, 'eligible': 360, 'excluded': 0, 'reasons': {}}",2026-05-27-paraphrase
anthropic/claude-opus-4.7,us-closed,20,20,3,3.7,0.7,0.571,0.0,0.0,0.137,0.075,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 200, 'eligible': 194, 'excluded': 6, 'reasons': {'failed-call': 6}}",2026-05-27-reversed-premise
google/gemma-2-27b-it,us-open,20,20,3,3,0,0.0,0.0,0.05,0.327,0.261,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 200, 'eligible': 194, 'excluded': 6, 'reasons': {'failed-call': 6}}",2026-05-27-reversed-premise
mistralai/mistral-large,european,17,15,3,2.941,-0.067,0.258,0.0,0.0,0.216,0.109,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 200, 'eligible': 194, 'excluded': 6, 'reasons': {'failed-call': 6}}",2026-05-27-reversed-premise
openai/gpt-4.1,us-closed,20,20,3,2.75,-0.25,0.444,0.0,0.0,0.229,0.287,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 200, 'eligible': 194, 'excluded': 6, 'reasons': {'failed-call': 6}}",2026-05-27-reversed-premise
x-ai/grok-4.3,us-closed,20,20,2.95,3.6,0.65,0.875,0.0,0.0,0.136,0.089,"{'policy': 'response-eligibility/2026-09-08', 'attempted': 200, 'eligible': 194, 'excluded': 6, 'reasons': {'failed-call': 6}}",2026-05-27-reversed-premise
