model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
mistralai/mistral-large,T03,1,1,3,3,0
mistralai/mistral-large,T04,1,1,3,3,0
mistralai/mistral-large,T05,1,1,3,3,0
mistralai/mistral-large,T06,1,1,3,3,0
mistralai/mistral-large,T07,1,1,3,3,0
mistralai/mistral-large,T08,1,1,3,3,0
mistralai/mistral-large,T09,1,1,3,3,0
mistralai/mistral-large,T10,1,1,3,3,0
openai/gpt-4.1,T01,1,1,3,3,0
openai/gpt-4.1,T02,1,1,3,3,0
openai/gpt-4.1,T03,1,1,3,4,1
openai/gpt-4.1,T04,1,1,3,3,0
openai/gpt-4.1,T05,1,1,3,3,0
openai/gpt-4.1,T06,1,1,3,3,0
openai/gpt-4.1,T07,1,1,3,3,0
openai/gpt-4.1,T08,1,1,3,3,0
openai/gpt-4.1,T09,1,1,3,3,0
openai/gpt-4.1,T10,1,1,3,3,0
phi4:latest,T01,1,1,3,3,0
phi4:latest,T02,1,1,3,3,0
phi4:latest,T03,1,1,3,3,0
phi4:latest,T04,1,1,3,3,0
phi4:latest,T05,1,1,3,3,0
phi4:latest,T06,1,1,3,3,0
phi4:latest,T07,1,1,3,3,0
phi4:latest,T08,1,1,3,3,0
phi4:latest,T09,1,1,3,3,0
phi4:latest,T10,1,1,3,3,0
qwen2.5:14b,T01,1,1,3,3,0
qwen2.5:14b,T02,1,1,3,3,0
qwen2.5:14b,T03,1,1,3,3,0
qwen2.5:14b,T04,1,1,3,3,0
qwen2.5:14b,T05,1,1,3,3,0
qwen2.5:14b,T06,1,1,3,3,0
qwen2.5:14b,T07,1,1,3,3,0
qwen2.5:14b,T08,1,1,3,3,0
qwen2.5:14b,T09,1,1,3,3,0
qwen2.5:14b,T10,1,1,3,3,0
x-ai/grok-4.3,T01,1,1,3,3,0
x-ai/grok-4.3,T02,1,1,3,3,0
x-ai/grok-4.3,T03,1,1,3,4,1
x-ai/grok-4.3,T04,1,1,3,4,1
x-ai/grok-4.3,T05,1,1,3,4,1
x-ai/grok-4.3,T06,1,1,3,4,1
x-ai/grok-4.3,T07,1,1,3,3,0
x-ai/grok-4.3,T08,1,1,3,5,2
x-ai/grok-4.3,T09,1,1,3,3,0
x-ai/grok-4.3,T10,1,1,3,3,0
z-ai/glm-4.7,T01,1,0,,,
z-ai/glm-4.7,T02,1,0,3,,
z-ai/glm-4.7,T03,1,0,,,
z-ai/glm-4.7,T04,1,0,,,
z-ai/glm-4.7,T05,1,0,,,
z-ai/glm-4.7,T06,1,0,,,
z-ai/glm-4.7,T07,1,0,,,
z-ai/glm-4.7,T08,1,0,,,
z-ai/glm-4.7,T09,1,1,3,3,0
z-ai/glm-4.7,T10,1,0,,,
